pickup_hour,day_type,total_trips,moving_avg_3hr
0,Weekday,249319,187686.0
1,Weekday,126053,147519.0
2,Weekday,67185,78118.3
3,Weekday,41117,48891.3
4,Weekday,38372,51314.0
5,Weekday,74453,106426.0
6,Weekday,206453,236508.7
7,Weekday,428620,406708.7
8,Weekday,585053,545966.3
9,Weekday,624226,616390.0
10,Weekday,639891,646310.7
11,Weekday,674815,678297.7
12,Weekday,720187,712891.7
13,Weekday,743673,760477.3
14,Weekday,817572,798617.0
15,Weekday,834606,826877.7
16,Weekday,828455,862578.0
17,Weekday,924673,915851.0
18,Weekday,994425,932889.3
19,Weekday,879570,886055.7
20,Weekday,784172,817188.0
21,Weekday,787822,762235.7
22,Weekday,714713,678600.7
23,Weekday,533267,623990.0
0,Weekend,257180,233728.5
1,Weekend,210277,206645.7
2,Weekend,152480,154983.0
3,Weekend,102192,102308.7
4,Weekend,52254,59294.7
5,Weekend,23438,38107.7
6,Weekend,38631,40796.3
7,Weekend,60320,64711.3
8,Weekend,95183,102172.0
9,Weekend,151013,150822.7
10,Weekend,206272,200920.0
11,Weekend,245475,242792.3
12,Weekend,276630,269523.0
13,Weekend,286464,284760.0
14,Weekend,291186,290262.3
15,Weekend,293137,295843.3
16,Weekend,303207,301941.0
17,Weekend,309479,306376.7
18,Weekend,306444,298856.3
19,Weekend,280646,277013.3
20,Weekend,243950,254983.7
21,Weekend,240355,241435.3
22,Weekend,240001,232185.0
23,Weekend,216199,228100.0
